"Compound","PubChem ID","Affinity"
"Quercetin 3-xylosyl-(1->2)-rhamnoside-4'-rhamnoside",44259253,-7.9
"Quercetin 4'-galactoside",44259272,-7.9
"Tamarixetin 3-rutinoside-7-rhamnoside",44259415,-7.9
"Quercetin 4'-caprylate",49785928,-7.9
"3-[(2S,3R,4S,5S,6R)-6-[[(2R,3R,4R,5S,6S)-3,5-Dihydroxy-6-methyl-4-[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxyoxan-2-yl]oxymethyl]-3,4,5-trihydroxyoxan-2-yl]oxy-2-(3,4-dihydroxyphenyl)-5,7-dihydroxychromen-4-one",57393076,-7.9
"CID 129733711",129733711,-7.9
"Vitamin P",5293655,-7.8
"Quercetin 7-(rhamnosylglucoside)",5488542,-7.8
"Quercetin 3-(6''-ferulylglucoside)",11114901,-7.8
"3,5,7-Trihydroxy-2-[4-hydroxy-3-[(2S,3R,4S,5R,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxyphenyl]chromen-4-one",11590784,-7.8
"2-(3,4-Dihydroxyphenyl)-3,5-dihydroxy-7-[(2S,3R,4R,5R,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxychromen-4-one",12068958,-7.8
"2-(3,4-Dihydroxyphenyl)-3,5-dihydroxy-7-[(3R,4R,5R,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxychromen-4-one",12314846,-7.8
"2-(3,4-Dihydroxyphenyl)-5,7-dihydroxy-3-[(3R,4S,5S,6R)-3,4,5-trihydroxy-6-[[(2R,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxymethyl]oxan-2-yl]oxychromen-4-one",13915963,-7.8
"Quercetin 3-arabinoside 7-glucoside",14054266,-7.8
"[2-Hydroxy-5-(3,5,7-trihydroxy-4-oxochromen-2-yl)phenyl] 6-aminohexanoate",16102847,-7.8
"[2-Hydroxy-4-(3,5,7-trihydroxy-4-oxochromen-2-yl)phenyl] hydrogen sulfate",25164913,-7.8
"Madreselvin B",44258007,-7.8
"Quercetin 3-isorhamninoside",44259107,-7.8
"Quercetin 3-(2Gal-apiosylrobinobioside)",44259108,-7.8
"Quercetin 3-rhamnosyl-(1->2)-rhamnosyl-(1->6)-glucoside",44259157,-7.8
"Quercetin 3-(2G-apiosylrutinoside)",44259159,-7.8
"Quercetin 3-(6''-malonylglucoside)",44259188,-7.8
"Quercetin 7-xyloside",44259223,-7.8
"Artabotryside A",44259274,-7.8
"Quercetin 3-rutinoside-7-(6''-benzoylglucoside)",44259310,-7.8
"Isorhamnetin 3-(6'''-p-coumaroylglucosyl)-(1->2)-rhamnoside",44259399,-7.8
"Quercetin 3-methyl ether 7-rhamnoside",44259661,-7.8
"Quercetin 3-methyl ether 7-glucuronide",44259662,-7.8
"Quercetin 3,4'-dimethyl ether 7-rutinoside",44259698,-7.8
"Quercetin 4'-glucuronide",57331045,-7.8
"Quercetin 4'-O-alpha-L-rhamnopyranosyl-3-O-beta-D-allopyranoside",71306323,-7.8
"Quercetin 7-O-alpha-D-rhamnopyranoside",72193676,-7.8
"Quercetin 3-[rhamnosyl-(1->2)-alpha-L-arabinopyranoside]",73829996,-7.8
"Quercetin 7-glucuronoside 3-sophoroside",74978169,-7.8
"CID 91808054",91808054,-7.8
"CID 101621377",101621377,-7.8
"CID 102332276",102332276,-7.8
"CID 129848344",129848344,-7.8
"CID 129868652",129868652,-7.8
"CID 131753131",131753131,-7.8
"CID 135397965",135397965,-7.8
"CID 145865141",145865141,-7.8
"3-[(2S,3R,4S,5R,6R)-4,5-Dihydroxy-6-(hydroxymethyl)-3-[(2S,3R,4S,5R)-3,4,5-trihydroxyoxan-2-yl]oxyoxan-2-yl]oxy-2-(3,4-dihydroxyphenyl)-5,7-dihydroxychromen-4-one",5274586,-7.7
"Quercetin 3,4'-bissulfate",5280403,-7.7
"Quercetin 3-sophorotrioside",5282167,-7.7
"Moracetin",5319886,-7.7
"Reynoutrin",5320861,-7.7
"Quercetin-3-D-xyloside",5320863,-7.7
"Quercetin 3-O-alpha-L-fucopyranoside",5359430,-7.7
"[(2S,3R,4S,5S)-2-[2-(3,4-Dihydroxyphenyl)-5,7-dihydroxy-4-oxochromen-3-yl]peroxy-4,5-dihydroxyoxan-3-yl] 3,4,5-trihydroxybenzoate",5481883,-7.7
"Vincetoxicoside B",5748601,-7.7
"[(2R,3R,4S,5R,6S)-6-[2-(3,4-Dihydroxyphenyl)-5,7-dihydroxy-4-oxochromen-3-yl]oxy-3,4-dihydroxy-5-(3,4,5-trihydroxybenzoyl)oxyoxan-2-yl]methyl 3,4,5-trihydroxybenzoate",10440177,-7.7
"[(2R,3R,4S,5R,6S)-6-[2-(3,4-Dihydroxyphenyl)-5,7-dihydroxy-4-oxochromen-3-yl]oxy-3,4,5-trihydroxyoxan-2-yl]methyl (E)-3-(4-hydroxy-3-methoxyphenyl)prop-2-enoate",11490636,-7.7
"2-(3,4-Dihydroxyphenyl)-3,5-dihydroxy-7-[(2R,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxychromen-4-one",12314848,-7.7
"2-(3,4-Dihydroxyphenyl)-5,7-dihydroxy-3-[3,4,5-trihydroxy-6-[[3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxymethyl]oxan-2-yl]oxychromen-4-one",13915961,-7.7
"Calendoflavobioside",14034827,-7.7
"Quercetin 3-(3'',6''-diacetylgalactoside)",44259124,-7.7
"Quercetin 3-glucoside-7-rhamnoside",44259151,-7.7
"Quercetin 3-sophoroside-7-rhamnoside",44259168,-7.7
"Quercetin 7-galactoside",44259224,-7.7
"Quercetin 3-(2''-galloylrhamnoside)",44259259,-7.7
"Quercetin 3-(6'''-p-coumarylglucosyl) (1->2)-rhamnoside",44259263,-7.7
"Quercetin 3'-glucoside-7-acetate",44259268,-7.7
"Quercetin 3-sulfate-7-alpha-arabinopyranoside",44259322,-7.7
"Quercetin 4'-isobutyrate",44259328,-7.7
"Isorhamnetin 3-rhamnosyl-(1->2)-gentiobiosyl-(1->6)-glucoside",44259397,-7.7
"Isorhamnetin 3-(2'''-acetyl-alpha-arabinopyranosyl)-(1->6)-galactoside",44259401,-7.7
"Quercetin 3-O-alpha-D-rhamnofuranoside",72193675,-7.7
"CID 91363802",91363802,-7.7
"CID 101057532",101057532,-7.7
"CID 102317598",102317598,-7.7
"CID 129731701",129731701,-7.7
"CID 131751924",131751924,-7.7
"CID 135397920",135397920,-7.7
"CID 138911128",138911128,-7.7
"Quercetin 3-O-glucuronide",5274585,-7.6
"Quercetin 3-sulfate",5280362,-7.6
"Quercetin 3,3'-bissulfate",5280402,-7.6
"Quercimeritrin",5282160,-7.6
"Quercetin 3,4'-diglucoside",5320835,-7.6
"2-(3,4-Dihydroxyphenyl)-5-hydroxy-3-[(2S,3R,4S,5R,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy-7-[(2S,3R,4R,5R,6S)-3,4,5-trihydroxy-6-methyloxan-2-yl]oxychromen-4-one",5320843,-7.6
"[(2S,3R,4S,5S,6R)-2-[2-(3,4-Dihydroxyphenyl)-5,7-dihydroxy-4-oxochromen-3-yl]oxy-4,5-dihydroxy-6-(hydroxymethyl)oxan-3-yl] 3,4,5-trihydroxybenzoate",5480249,-7.6
"Peltatoside",5484066,-7.6
"Benzenesulfonic acid, 2,3-dihydroxy-5-(3,5,7-trihydroxy-4-oxo-4H-1-benzopyran-2-yl)-",5487967,-7.6
"Quercetin-3-O-neohesperidose",5748363,-7.6
"Quercetin-3-O-(6'''-trans-p-coumaroyl-2''-glucosyl)rhamnoside",10169367,-7.6
"Quercetin 3-acetate 7,3',4'-tri-O-sulfate",10210439,-7.6
"3-[(2S,3R,4R,5R,6S)-4,5-Dihydroxy-6-methyl-3-[(2S,3R,4R,5R,6S)-3,4,5-trihydroxy-6-methyloxan-2-yl]oxyoxan-2-yl]oxy-2-(3,4-dihydroxyphenyl)-5,7-dihydroxychromen-4-one",10698716,-7.6
"Quercetin 3-O-alpha-(6'''-caffeoylglucosyl-beta-1,2-rhamnoside)",11274280,-7.6
"Quercetin-3'-glucuronide",11655911,-7.6
"Mikwelianin",13258914,-7.6
"2-(3,4-Dihydroxyphenyl)-5-hydroxy-3,7-bis[[(3R,4R,5R,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy]chromen-4-one",13345441,-7.6
"Manghaslin",14299117,-7.6
"[2-Hydroxy-5-(3,5,7-trihydroxy-4-oxochromen-2-yl)phenyl] 4-aminobutanoate",16102829,-7.6
"Quercetin 3-apiosyl-(1->2)-alpha-L-arabinopyranoside",21676283,-7.6
"Methyl (2S,3S,4S,5R,6S)-6-[2-(3,4-dihydroxyphenyl)-5,7-dihydroxy-4-oxochromen-3-yl]oxy-3,4,5-trihydroxyoxane-2-carboxylate",21722016,-7.6
"[(2S,3R,4S,5R,6R)-2-[2-(3,4-Dihydroxyphenyl)-5,7-dihydroxy-4-oxochromen-3-yl]oxy-3,5-dihydroxy-6-(hydroxymethyl)oxan-4-yl] (E)-3-(4-hydroxyphenyl)prop-2-enoate",23265182,-7.6
"Quercetin 3-alpha-L-arabinopyranosyl-(1->6)-(2''-(E)-p-coumaroylglucoside)",44258004,-7.6
"Monepalin B",44258006,-7.6
"Tamarixetin 3-neohesperidoside",44258037,-7.6
"Quercetin 3-alpha-L-arabinopyranosyl-(1->6)-galactoside",44259093,-7.6
"Quercetin 3-galactosyl-(1->4)-galactoside",44259095,-7.6
"Quercetin 3-robinobioside",44259100,-7.6
"Quercetin 3-galactoside-7-glucoside",44259103,-7.6
"Quercetin 7-(6''-tiglylglucoside)",44259135,-7.6
"Quercetin 3-xylosyl-(1->6)-glucoside",44259141,-7.6
"Quercetin 3-galactosyl-(1->2)-glucoside",44259142,-7.6
"Quercetin 3-glucoside-7-alpha-L-arabionopyranoside",44259149,-7.6
"Quercetin 3-rutinoside-7-rhamnoside",44259176,-7.6
"Quercetin 3-glucoside-7-rutinoside",44259182,-7.6
"Quercetin 3-(2''-galloylglucoside)",44259189,-7.6
"Quercetin 3-xylosyl-(1->2)-rhamnoside",44259235,-7.6
"Quercetin 3-galactosyl-(1->4)-rhamnoside",44259236,-7.6
"Quercetin 3-xyloside-7-glucoside",44259240,-7.6
"Quercetin 3,7-dirhamnoside",44259244,-7.6
"Quercetin 3-glucuronide-7-glucoside",44259245,-7.6
"Quercetin 4'-(6''-galloylglucoside)",44259262,-7.6
"Quercetin 7-methyl ether 3-alpha-L-arabinopyranosyl-(1->3)-[galactosyl-(1->6)-galactoside]",44259600,-7.6
"Quercetin 3-methyl ether 7-galactoside",44259659,-7.6
"Quercetin 3-methyl ether 7-glucoside",44259660,-7.6
"Quercetin 3-methyl ether 3'-glucoside",44259664,-7.6
"Caryatin 7-glucoside",44259667,-7.6
"Quercetin 3,4'-dimethyl ether 7-alpha-L-Arabinofuranosyl-(1->6)-glucoside",44259697,-7.6
"Quercetin 5,7,3',4'-tetramethyl ether 3-rutinoside",44259700,-7.6
"Quercetin 7-caprylate",49785930,-7.6
"2-(3,4-Dihydroxyphenyl)-5-hydroxy-7-[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy-3-[(2S,3R,4S,5R)-3,4,5-trihydroxyoxan-2-yl]oxychromen-4-one",54239133,-7.6
"Quercetin 3-O-beta-L-rhamnofuranoside",72193640,-7.6
"Quercetin 3-O-alpha-L-rhamnofuranoside",72193677,-7.6
"Crosatoside A",74978268,-7.6
"Peliolaroside",78358515,-7.6
"CID 90658073",90658073,-7.6
"CID 129628232",129628232,-7.6
"CID 137796485",137796485,-7.6
"Rutin",5280805,-7.5
"Rhamnetin",5281691,-7.5
"Ombuin",5320287,-7.5
"Guaijaverin",5481224,-7.5
"Quercetin 3-isobutyrate",5482939,-7.5
"2'-O-Galloylhyperin",6453359,-7.5
"4H-1-Benzopyran-4-one, 2-(3,4-dihydroxyphenyl)-3-(alpha-D-galactopyranosyloxy)-5,7-dihydroxy-",6455156,-7.5
"Quercetin 3-O-(6''-acetyl-glucoside)",10006384,-7.5
"Guaiaverin",10252339,-7.5
"5,7-Dihydroxy-2-[3-hydroxy-4-[(3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxyphenyl]-3-[(3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxychromen-4-one",11215769,-7.5
"(2S,3R,4S,5R,6S)-6-[2-(3,4-Dihydroxyphenyl)-5,7-dihydroxy-4-oxochromen-3-yl]oxy-3,4,5-trihydroxyoxane-2-carboxylic acid",11972446,-7.5
"2-(3,4-Dihydroxyphenyl)-5,7-dihydroxy-3-[(3R,4R,5R,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxychromen-4-one",12304324,-7.5
"6''-Acetylhyperin 7-rhamnoside",14353459,-7.5
"[2-(3,4-Disulfonatooxyphenyl)-5-hydroxy-4-oxo-3-sulfonatooxychromen-7-yl] sulfate",44123499,-7.5
"Quercetin-3-rham(4)-gluc",44144321,-7.5
"Quercetin 3-rhamninoside",44259106,-7.5
"Quercetin 3-galactoside-7-glucosyl-(1->4)-rhamnoside",44259115,-7.5
"Quercetin 3-(6''-galloylgalactoside)",44259122,-7.5
"Quercetin 3-sophoroside",44259144,-7.5
"Quercetin 3-neohesperidoside-7-rhamnoside",44259173,-7.5
"Quercetin 3-xylosyl-(1->2)-alpha-L-arabinofuranoside",44259231,-7.5
"Quercetin 3-xyloside-7-rhamnoside",44259241,-7.5
"Quercetin 3,7-diglucuronide",44259246,-7.5
"Quercetin 3-glucosyl-(1->2)-rhamnoside-7-rhamnoside",44259252,-7.5
"Quercetin 3-(3''-acetylrhamnoside)",44259257,-7.5
"Quercetin 3-alpha-L-arabinofuranosyl-(1->2)-glucoside",44259275,-7.5
"Quercetin 3-galactosyl-(1->2)-rhamnoside",44259278,-7.5
"Quercetin 3-(2''-acetylrhamnoside)",44259301,-7.5
"Quercetin 3-rhamnosyl-(1->6)-(2''-acetylglucoside)",44259304,-7.5
"Quercetin 3-(3'',4''-diacetylrhamnosyl)-(1->6)-glucoside",44259307,-7.5
"Quercetin 3-(6''-caffeoylsophoroside)-7-rhamnoside",44259313,-7.5
"Isorhamnetin 3-galactoside-7-rhamnoside",44259338,-7.5
"Isorhamnetin 3-rhamnosyl-(1->6)-(2''-acetylglucoside)",44259402,-7.5
"Quercetin 7-methyl ether 3-laminaribioside",44259598,-7.5
"Quercetin 3-methyl ether 3'-xyloside",44259663,-7.5
"Quercetin 3,3'-dimethyl ether 4'-glucoside",44259682,-7.5
"3-[4,5-Dihydroxy-6-methyl-3-(3,4,5-trihydroxy-6-methyloxan-2-yl)oxyoxan-2-yl]oxy-2-(3,4-dihydroxyphenyl)-5,7-dihydroxychromen-4-one",56664758,-7.5
"Quercetin 3-glucoside 7-xyloside",74978152,-7.5
"2-(3,4-Dihydroxyphenyl)-3,5-dihydroxy-7-[3,4,5-trihydroxy-6-[(3,4,5-trihydroxy-6-methyloxan-2-yl)oxymethyl]oxan-2-yl]oxychromen-4-one",74978200,-7.5
"CID 90657242",90657242,-7.5
"CID 134756434",134756434,-7.5
"CID 135397903",135397903,-7.5
"Benzquercin",65604,-7.4
"Quercetin 3,3',7-trissulfate",5280631,-7.4
"Quercetin 3,4',7-trissulfate",5280632,-7.4
"Multinoside A",5319943,-7.4
"3,5,7-Trihydroxy-2-[3-hydroxy-4-[(2R,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxyphenyl]chromen-4-one",5321451,-7.4
"2-(Acetyloxy)-4-(3,7-bis(acetyloxy)-5-hydroxy-4-oxo-4H-chromen-2-yl)phenyl acetate",5356590,-7.4
"2-(3,4-Dihydroxyphenyl)-5,7-dihydroxy-3-[(2S,3R,4R,5S,6S)-3,4,5-trihydroxy-6-methyloxan-2-yl]oxychromen-4-one",6325794,-7.4
"Quercetin 3-O-[2-O-(6-O-E-feruloyl)-beta-D-glucopyranosyl]-beta-D-galactopyranoside",10463057,-7.4
"Calabricoside B",11072999,-7.4
"(2S,3S,4S,5R,6S)-6-[2-(3,4-Dihydroxyphenyl)-3,5-dihydroxy-4-oxochromen-7-yl]oxy-3,4,5-trihydroxyoxane-2-carboxylic acid",11641481,-7.4
"Quercetin-3-o-alpha-d-arabinofuranoside",11968848,-7.4
"Quercetin 3-alloside",12304327,-7.4
"Fenicularin",12308704,-7.4
"Quercetin 3-(2-galloylglucoside)",13889202,-7.4
"Quercetin 3-rutinoside 7-galactoside",13942388,-7.4
"[6-[2-(3,4-Dihydroxyphenyl)-5,7-dihydroxy-4-oxochromen-3-yl]oxy-3,4,5-trihydroxyoxan-2-yl]methyl 3,4,5-trihydroxybenzoate",14055723,-7.4
"Quercetin 3-(2-glucosylrhamnoside)",14238625,-7.4
"[6-[2-(3,4-Dihydroxyphenyl)-5,7-dihydroxy-4-oxochromen-3-yl]oxy-3,4,5-trihydroxyoxan-2-yl]methyl acetate",15596585,-7.4
"[2-Hydroxy-4-(5-hydroxy-4-oxo-3,7-disulfonatooxychromen-2-yl)phenyl] sulfate",21676176,-7.4
"3,3',4',5,7,8-Hexahydroxyflavone",25201917,-7.4
"2-(3,4-Dihydroxyphenyl)-5-hydroxy-7-(3,4,5-trihydroxy-6-methyloxan-2-yl)oxy-3-[3,4,5-trihydroxy-6-[[3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxymethyl]oxan-2-yl]oxychromen-4-one",25202508,-7.4
"Quercetin-7-olate 3,4'-bissulfate(3-)",25202871,-7.4
"Quercetin 3-sulfate(2-)",25203115,-7.4
"Dillenetin 3-neohesperidoside",44258038,-7.4
"Quercetin 3-lathyroside",44259094,-7.4
"Quercetin 3-glucosyl-(1->2)-galactoside",44259096,-7.4
"Quercetin 3-glucosyl-(1->4)-galactoside",44259097,-7.4
"Quercetin 3-galactoside-7-rhamnoside",44259104,-7.4
"Quercetin 3-(2Gal-rhamnosyl-robinobioside)",44259110,-7.4
"Quercetin 3-galactoside-7-neohesperidoside",44259114,-7.4
"Quercetin 3-(6''-malonylgalactoside)",44259118,-7.4
"Quercetin 3-[6''-(3-hydroxy-3-methylglutaryl)galactoside]",44259119,-7.4
"Quercetin 3-vicianoside",44259139,-7.4
"Quercetin 3,3'-diglucoside",44259153,-7.4
"Quercetin 3-rutinoside-7-galactoside",44259174,-7.4
"Quercetin 3-(3'',6''-di-p-coumarylglucoside)",44259194,-7.4
"Quercetin 3-beta-L-arabinopyranoside",44259216,-7.4
"3,5-Dihydroxy-2-[3-hydroxy-4-[(2S,4S,5S)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxyphenyl]-7-[(2S,4S,5S)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxychromen-4-one",44259248,-7.4
"Quercetin 3-glucosyl-(1->6)-glucosyl-(1->4)-rhamnoside",44259251,-7.4
"Quercetin 3-glucuronide-7-rutinoside",44259254,-7.4
"Horridin (flavone)",44259276,-7.4
"Quercetin 3-rhamnoside-3'-glucoside",44259281,-7.4
"Quercetin 3-glucosyl-(1->2)-[rhamnosyl-(1->6)-galactoside]",44259287,-7.4
"Quercetin 3-rhamnosyl-(1->2)-alpha-L-arabinopyranoside-7-glucoside",44259288,-7.4
"Quercetin 3-rutinoside-3'-apioside",44259292,-7.4
"Euphorbianin",44259305,-7.4
"Quercetin 7,4'-disulfate",44259330,-7.4
"Isorhamnetin 3-L-arabinopyranosyl-(1->6)-galactoside",44259331,-7.4
"Isorhamnetin 3-xylosyl-(1->2)-glucoside-7-rhamnoside",44259396,-7.4
"Isorhamnetin 7-alpha-D-Glucosamine",44259405,-7.4
"Isorhamnetin 3-(4''-sulfatorutinoside)",44259407,-7.4
"Tamarixetin 3,7-diglucoside",44259414,-7.4
"Quercetin 7-methyl ether 3-gentiobioside",44259599,-7.4
"Quercetin 7-methyl ether 3-[3-hydroxy-3-methylglutaryl-(1->6)]-[apiosyl-(1->2)-galactoside]",44259601,-7.4
"Rhamnetin 3-O-sulfate",44259603,-7.4
"Quercetin 3,7-dimethyl ether 4'-sulfate",44259647,-7.4
"Quercetin 3-methyl ether 5-glucoside",44259658,-7.4
"Quercetin 3-methyl ether 5-glucoside-3'-sulfate",44259673,-7.4
"Quercetin 3,3'-dimethyl ether 7-glucoside",44259680,-7.4
